MODEL EVALUATION SUMMARY
==================================================

Optimal Confidence Threshold: 0.10

Metrics at Optimal Threshold:
  Precision: 0.7474
  Recall: 0.4630
  F1 Score: 0.5718
  Average IoU: 0.7425

Detection Counts:
  True Positives: 213
  False Positives: 72
  False Negatives: 247

Metrics Across All Thresholds:
--------------------------------------------------
Threshold    Precision    Recall       F1           IoU         
--------------------------------------------------
0.10         0.7474       0.4630       0.5718       0.7425      
0.15         0.7474       0.4630       0.5718       0.7425      
0.20         0.7474       0.4630       0.5718       0.7425      
0.25         0.7474       0.4630       0.5718       0.7425      
0.30         0.7474       0.4630       0.5718       0.7425      
0.35         0.7474       0.4630       0.5718       0.7425      
0.40         0.7474       0.4630       0.5718       0.7425      
0.45         0.7509       0.4587       0.5695       0.7438      
0.50         0.7600       0.4543       0.5687       0.7447      
0.55         0.7687       0.4478       0.5659       0.7474      
0.60         0.7795       0.4457       0.5671       0.7476      
0.65         0.8000       0.4435       0.5706       0.7482      
0.70         0.8171       0.4370       0.5694       0.7491      
0.75         0.8362       0.4217       0.5607       0.7511      
0.80         0.8591       0.4109       0.5559       0.7529      
0.85         0.8698       0.3630       0.5123       0.7661      
0.90         0.8750       0.2435       0.3810       0.7813      
0.95         1.0000       0.0457       0.0873       0.8673      
