subfolder,image_name,image_path,status,instrument_pixels,needle_pixels,area_ratio,corrected_area,,,,,,,,
7-14_tree123_2838_day0,20250715_102651.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_102651.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_102705.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_102705.jpg,success,1209,5099,0.808338618,4.850031706,,,,,,,,
7-14_tree123_2838_day0,20250715_103110.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_103110.jpg,success,1170,5756,0.831071325,4.986427953,,,,,,,,
7-14_tree123_2838_day0,20250715_103435.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_103435.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_103451.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_103451.jpg,success,1121,4323,0.794085231,4.764511389,,,,,,,,
7-14_tree123_2838_day0,20250715_104022.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_104022.jpg,success,1047,4953,0.8255,4.953,,,,,,,,
7-14_tree123_2838_day0,20250715_104855.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_104855.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_104906.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_104906.jpg,success,1344,4758,0.779744346,4.678466077,,,,,,,,
7-14_tree123_2838_day0,20250715_105159.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_105159.jpg,success,955,5087,0.841939755,5.05163853,,,,,,,,
7-14_tree123_2838_day0,20250715_110111.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_110111.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_110123.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_110123.jpg,success,1436,6952,0.828803052,4.972818312,,,,,,,,
7-14_tree123_2838_day0,20250715_110549.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_110549.jpg,success,1339,10031,0.882233949,5.293403694,,,,,,,,
7-14_tree123_2838_day0,20250715_111008.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_111008.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_111021.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_111021.jpg,success,972,5652,0.85326087,5.119565217,,,,,,,,
7-14_tree123_2838_day0,20250715_111547.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_111547.jpg,success,910,5123,0.849162937,5.094977623,,,,,,,,
7-14_tree123_2838_day0,20250715_112231.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_112231.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_112242.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_112242.jpg,success,1125,5561,0.83173796,4.990427759,,,,,,,,
7-14_tree123_2838_day0,20250715_112819.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_112819.jpg,success,1413,5118,0.783647221,4.701883326,,,,,,,,
7-14_tree123_2838_day0,20250715_114134.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_114134.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_114147.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_114147.jpg,success,860,5124,0.856283422,5.137700535,,,,,,,,
7-14_tree123_2838_day0,20250715_114732.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_114732.jpg,success,1035,7464,0.878220967,5.269325803,,,,,,,,
7-14_tree123_2838_day0,20250715_115540.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_115540.jpg,success,0,0,0,0,,,,,,,,9
7-14_tree123_2838_day0,20250715_115607.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_115607.jpg,success,1192,5273,0.815622583,4.893735499,,,,,,,,
7-14_tree123_2838_day0,20250715_120100.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_120100.jpg,success,1277,5370,0.807883256,4.847299534,,,,,,,,
7-14_tree123_2838_day0,20250715_120952.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_120952.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_121003.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_121003.jpg,success,978,4086,0.806872038,4.841232227,,,,,,,,
7-14_tree123_2838_day0,20250715_121516.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_121516.jpg,success,1022,4208,0.80458891,4.827533461,,,,,,,,
7-14_tree123_2838_day0,20250715_122028.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_122028.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_122045.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_122045.jpg,success,1193,5657,0.825839416,4.955036496,,,,,,,,
7-14_tree123_2838_day0,20250715_122424.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_122424.jpg,success,1030,2988,0.743653559,4.461921354,,,,,,,,
7-14_tree123_2838_day0,20250715_123150.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_123150.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_123202.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_123202.jpg,success,977,3694,0.79083708,4.745022479,,,,,,,,
7-14_tree123_2838_day0,20250715_123639.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_123639.jpg,success,1156,3709,0.762384378,4.574306269,,,,,,,,
7-14_tree123_2838_day0,20250715_124606.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_124606.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day0,20250715_124612.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_124612.jpg,success,1100,3095,0.737783075,4.426698451,,,,,,,,
7-14_tree123_2838_day0,20250715_125339.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day0\20250715_125339.jpg,success,959,4133,0.811665357,4.869992145,,,,,,,,
7-14_tree123_2838_day7,20250722_155103.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_155103.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_155115.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_155115.jpg,success,943,4511,0.827099377,4.96259626,,,,,,,,
7-14_tree123_2838_day7,20250722_155505.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_155505.jpg,success,961,4244,0.815369837,4.89221902,,,,,,,,
7-14_tree123_2838_day7,20250722_155725.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_155725.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_155743.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_155743.jpg,success,750,4718,0.862838332,5.177029993,,,,,,,,
7-14_tree123_2838_day7,20250722_160114.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_160114.jpg,success,672,2492,0.787610619,4.725663717,,,,,,,,
7-14_tree123_2838_day7,20250722_160531.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_160531.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_160541.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_160541.jpg,success,813,2016,0.7126193,4.275715801,,,,,,,,
7-14_tree123_2838_day7,20250722_160838.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_160838.jpg,success,557,3360,0.857799336,5.146796017,,,,,,,,
7-14_tree123_2838_day7,20250722_161143.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_161143.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_161203.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_161203.jpg,success,725,2794,0.793975561,4.763853367,,,,,,,,
7-14_tree123_2838_day7,20250722_161444.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_161444.jpg,success,951,3626,0.792221979,4.753331877,,,,,,,,
7-14_tree123_2838_day7,20250722_161806.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_161806.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_161825.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_161825.jpg,success,646,3194,0.831770833,4.990625,,,,,,,,
7-14_tree123_2838_day7,20250722_162134.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_162134.jpg,success,744,2975,0.799946222,4.799677333,,,,,,,,
7-14_tree123_2838_day7,20250722_162601.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_162601.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_162611.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_162611.jpg,success,825,4693,0.850489308,5.102935846,,,,,,,,
